date,time,temp_506f,pressure_msl,temp_pres,relhum_1,relhum_2,temp_1,temp_2,active,nick_angle,roll_angle,compass_angle,wind_dir,wind_speed,gps_alt,baro_alt_ers,lat,lon
29.09.15,22:58:53,7.64019,966.76,17.4,76.6,76.4,7.3,7.3,2,1.8,-1.7,333,29,2.9,490.8,1.6,46.813225,6.943771
29.09.15,22:58:54,7.19438,966.93,17.4,76.6,76.4,7.3,7.3,2,1.8,-1.7,333,29,2.9,490.8,1.6,46.813225,6.943771
29.09.15,22:58:54,7.5831,966.85,17.4,76.6,76.4,7.3,7.3,2,1.8,-1.7,333,29,2.9,490.8,1.6,46.813225,6.943771
29.09.15,22:58:54,7.49844,966.93,17.4,76.6,76.4,7.3,7.3,2,1.9,-1.8,332,18,3.2,490.6,1.1,46.813225,6.943773
29.09.15,22:58:54,7.61165,966.95,17.4,76.6,76.3,7.3,7.3,2,1.9,-1.9,333,17,3.2,490.6,1.1,46.813225,6.943773
29.09.15,22:58:55,6.89755,966.85,17.4,76.5,76.3,7.3,7.3,2,1.9,-1.9,332,17,3.2,490.6,1.1,46.813225,6.943773
29.09.15,22:58:55,7.03522,966.86,17.4,76.5,76.3,7.3,7.3,2,1.9,-1.9,333,17,3.3,490.5,1.1,46.813225,6.943773
29.09.15,22:58:55,7.46823,966.95,17.4,76.5,76.3,7.2,7.3,2,1.9,-1.9,332,17,3.4,490.5,1.1,46.813225,6.943773
29.09.15,22:58:55,6.97777,966.87,17.4,76.5,76.2,7.2,7.3,2,1.9,-1.9,337,17,3.4,490.5,1.1,46.813225,6.943773
29.09.15,22:58:56,7.25397,966.87,17.4,76.4,76.2,7.2,7.3,2,1.9,-2.0,337,17,3.4,490.4,1.1,46.813225,6.943773
29.09.15,22:58:56,7.1774,966.86,17.4,76.4,76.2,7.2,7.3,2,1.9,-2.0,337,17,3.4,490.4,0.8,46.813225,6.943773
29.09.15,22:58:56,7.32887,967.04,17.4,76.4,76.2,7.2,7.3,2,1.9,-1.9,334,18,3.4,490.4,0.8,46.813225,6.943773
29.09.15,22:58:56,7.06478,967.12,17.4,76.5,76.2,7.2,7.3,2,1.9,-2.0,338,18,3.4,490.3,0.8,46.813225,6.943775
29.09.15,22:58:57,7.1134,967.30,17.4,76.5,76.2,7.2,7.3,2,1.9,-2.0,336,18,3.4,490.3,0.8,46.813225,6.943775
29.09.15,22:58:57,7.55223,967.41,17.4,76.6,76.3,7.2,7.3,2,2.0,-1.9,336,19,3.4,490.3,-1.0,46.813225,6.943775
29.09.15,22:58:57,7.5162,967.14,17.4,76.6,76.3,7.2,7.2,2,2.2,-1.9,338,20,3.5,490.2,-1.0,46.813225,6.943775
29.09.15,22:58:57,7.23571,966.79,17.4,76.7,76.4,7.2,7.2,2,2.0,-1.6,338,20,3.5,490.2,-1.0,46.813232,6.943775
29.09.15,22:58:58,7.3173,966.69,17.4,76.8,76.4,7.2,7.2,2,3.3,-1.8,337,20,3.4,490.3,-1.0,46.813232,6.943775
29.09.15,22:58:58,6.7416,966.61,17.4,76.9,76.5,7.2,7.2,2,9.1,-1.8,333,20,3.4,490.3,0.7,46.813232,6.943775
29.09.15,22:58:58,7.20697,966.63,17.4,76.9,76.5,7.2,7.2,2,13.1,-1.5,339,20,3.4,490.9,0.7,46.813232,6.943775
29.09.15,22:58:58,6.6163,966.63,17.4,76.9,76.6,7.1,7.2,2,15.1,-1.2,334,20,3.5,490.9,0.7,46.813232,6.943775
29.09.15,22:58:59,6.84289,966.51,17.4,77.0,76.6,7.1,7.2,2,14.4,-1.0,338,18,3.5,491.1,0.7,46.813236,6.943775
29.09.15,22:58:59,6.73723,966.61,17.4,77.1,76.7,7.1,7.2,2,14.4,-1.0,338,18,3.5,491.6,3.3,46.813244,6.943770
29.09.15,22:58:59,7.40418,966.61,17.4,77.2,76.8,7.1,7.2,2,6.0,-0.8,337,15,3.6,491.6,3.3,46.813244,6.943770
29.09.15,22:58:59,6.75668,966.52,17.4,77.3,76.9,7.1,7.2,2,1.2,-0.8,338,5,4.9,491.7,3.3,46.813248,6.943766
29.09.15,22:59:00,7.00094,966.54,17.4,77.3,76.9,7.1,7.2,2,-2.2,-0.7,340,4,4.9,491.8,3.3,46.813255,6.943763
29.09.15,22:59:00,6.72979,966.54,17.4,77.4,77.0,7.1,7.2,2,-4.0,-0.4,339,4,4.9,492.0,3.3,46.813274,6.943757
29.09.15,22:59:00,6.70881,966.44,17.4,77.5,77.1,7.1,7.2,2,-3.0,-0.3,341,4,4.9,492.1,3.3,46.813282,6.943754
29.09.15,22:59:00,7.59892,966.38,17.4,77.6,77.2,7.1,7.2,2,-0.1,0.0,340,4,4.9,492.2,3.3,46.813286,6.943751
29.09.15,22:59:01,6.81826,966.45,17.4,77.6,77.2,7.2,7.2,2,1.2,-0.1,336,1,1.8,492.2,3.3,46.813286,6.943751
29.09.15,22:59:01,7.21293,966.44,17.4,77.7,77.3,7.2,7.2,2,0.9,-0.2,336,1,1.5,492.7,4.7,46.813320,6.943741
29.09.15,22:59:01,7.53911,966.45,17.4,77.7,77.3,7.2,7.2,2,-2.4,-0.3,335,1,1.2,492.9,4.7,46.813339,6.943735
29.09.15,22:59:01,7.31264,966.45,17.4,77.8,77.4,7.2,7.2,2,-16.0,0.0,337,106,.3,492.9,4.7,46.813339,6.943735
29.09.15,22:59:02,6.99603,966.36,17.4,77.8,77.4,7.2,7.2,2,-22.9,0.6,336,144,2.4,493.1,4.7,46.813343,6.943731
29.09.15,22:59:02,7.33755,966.36,17.4,77.9,77.5,7.2,7.2,2,-17.0,0.4,336,147,2.7,493.5,5.1,46.813370,6.943723
29.09.15,22:59:02,7.32429,966.36,17.4,77.9,77.5,7.2,7.2,2,-6.2,0.0,330,153,3.4,493.5,5.1,46.813370,6.943723
29.09.15,22:59:02,7.29358,966.36,17.4,77.9,77.6,7.2,7.2,2,-2.0,-0.6,329,150,4.1,493.6,5.1,46.813381,6.943721
